***not in a method***;2;1;0
PDTrueTypeFont.PDTrueTypeFont( COSDictionary fontDictionary );9;6;38
PDTrueTypeFont.PDTrueTypeFont( PDDocument document , TrueTypeFont ttf , Encoding encoding , boolean closeTTF );1;2;14
PDTrueTypeFont.codeToGID( int code );36;23;84
PDTrueTypeFont.encode( int unicode );14;7;41
PDTrueTypeFont.extractCmapTable( );12;11;36
PDTrueTypeFont.generateBoundingBox( );8;3;11
PDTrueTypeFont.getBaseFont( );3;1;3
PDTrueTypeFont.getBoundingBox( );4;2;7
PDTrueTypeFont.getFontBoxFont( );2;1;3
PDTrueTypeFont.getGIDToCode( );9;4;16
PDTrueTypeFont.getHeight( int code );4;2;9
PDTrueTypeFont.getName( );3;1;3
PDTrueTypeFont.getPath( String name );12;6;31
PDTrueTypeFont.getPath( int code );6;2;12
PDTrueTypeFont.getTrueTypeFont( );2;1;3
PDTrueTypeFont.getWidthFromFont( int code );5;2;10
PDTrueTypeFont.hasGlyph( String name );4;1;4
PDTrueTypeFont.hasGlyph( int code );3;1;3
PDTrueTypeFont.isDamaged( );2;1;3
PDTrueTypeFont.isEmbedded( );2;1;3
PDTrueTypeFont.load( PDDocument doc , File file , Encoding encoding );7;1;3
PDTrueTypeFont.load( PDDocument doc , InputStream input , Encoding encoding );7;1;3
PDTrueTypeFont.load( PDDocument doc , TrueTypeFont ttf , Encoding encoding );6;1;3
PDTrueTypeFont.loadTTF( PDDocument doc , File file );6;1;3
PDTrueTypeFont.loadTTF( PDDocument doc , InputStream input );6;1;4
PDTrueTypeFont.readCode( InputStream in );3;1;3
PDTrueTypeFont.readEncodingFromFont( );27;12;40
